Accession,FIA,FIB,FIC,AmoxiClav,Amoxicillin,Ceftazidime,Ciprofloxacin,Cefotaxime,Cefuroxime,Gentamicin,PipTaz
ERR434796,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434797,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434798,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434799,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434800,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434803,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434804,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434805,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434806,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434807,No_FIA,No_FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434808,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434809,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434810,No_FIA,FIB,FIC,S,S,S,S,S,S,S,I
ERR434811,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR434812,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,R
ERR434813,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434814,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434817,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434819,No_FIA,No_FIB,No_FIC,S,R,R,S,R,S,S,S
ERR434820,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434821,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434822,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434823,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434825,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR434826,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434827,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434828,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434829,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434833,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434834,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434835,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434836,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434837,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434838,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434839,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434840,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434842,FIA,FIB,No_FIC,R,S,S,I,S,S,S,S
ERR434843,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434844,FIA,FIB,FIC,R,S,R,R,R,R,S,S
ERR434847,FIA,No_FIB,No_FIC,R,S,S,R,R,R,S,S
ERR434852,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434854,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434855,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434856,FIA,FIB,No_FIC,R,S,R,I,R,R,S,S
ERR434859,No_FIA,No_FIB,No_FIC,R,S,S,S,S,R,S,S
ERR434860,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434861,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434862,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434863,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,R
ERR434864,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434865,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434867,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434868,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434869,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434871,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434872,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434873,FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434874,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434875,FIA,FIB,No_FIC,S,S,I,R,R,R,S,S
ERR434877,FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434878,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434879,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434884,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR434885,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434887,No_FIA,FIB,No_FIC,S,S,S,S,S,S,R,S
ERR434888,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434889,No_FIA,No_FIB,FIC,R,S,S,S,S,S,S,S
ERR434890,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434891,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434893,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434894,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434896,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434897,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434898,FIA,No_FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434899,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434900,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434901,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434902,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434903,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434905,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434906,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434907,FIA,FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434908,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434911,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434913,No_FIA,FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434914,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434915,FIA,No_FIB,No_FIC,R,R,S,R,R,R,S,S
ERR434916,FIA,FIB,No_FIC,R,R,S,R,S,S,S,S
ERR434917,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434918,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434920,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434922,FIA,No_FIB,No_FIC,R,R,R,R,R,R,S,R
ERR434923,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434924,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434925,FIA,FIB,No_FIC,R,R,R,R,R,R,R,I
ERR434926,No_FIA,FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434927,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434928,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434929,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434931,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434935,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434937,FIA,FIB,No_FIC,S,S,R,R,R,R,S,S
ERR434938,FIA,FIB,No_FIC,R,S,S,R,S,S,R,S
ERR434939,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434941,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434944,No_FIA,No_FIB,No_FIC,R,S,S,S,R,R,S,S
ERR434945,FIA,No_FIB,No_FIC,R,S,S,R,S,R,S,S
ERR434946,FIA,No_FIB,No_FIC,S,S,R,R,S,S,S,S
ERR434947,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434948,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434949,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434950,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434951,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434952,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434953,FIA,FIB,No_FIC,R,S,S,R,S,R,R,S
ERR434956,FIA,No_FIB,No_FIC,R,S,S,R,R,R,S,S
ERR434957,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434959,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434960,FIA,FIB,FIC,R,S,I,R,R,R,R,S
ERR434963,FIA,No_FIB,No_FIC,R,S,S,R,R,R,S,S
ERR434965,No_FIA,No_FIB,FIC,S,S,I,R,R,R,S,S
ERR434966,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434969,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434972,No_FIA,No_FIB,No_FIC,S,R,S,S,S,R,S,S
ERR434974,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434976,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434977,No_FIA,FIB,FIC,R,R,S,S,S,S,S,R
ERR434978,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434979,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434980,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434982,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434984,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434985,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,R
ERR434986,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434987,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434988,No_FIA,FIB,No_FIC,R,R,S,S,S,R,S,R
ERR434992,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434993,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434994,FIA,No_FIB,No_FIC,R,R,S,R,R,R,S,I
ERR434995,FIA,No_FIB,No_FIC,R,R,R,R,R,R,R,S
ERR434997,FIA,FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434998,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434999,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR435000,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435001,FIA,No_FIB,No_FIC,S,S,S,R,S,S,R,S
ERR435003,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435007,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435008,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,R
ERR435009,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435011,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435012,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR435014,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435016,FIA,FIB,No_FIC,S,R,I,R,R,R,S,S
ERR435017,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435018,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435019,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435020,FIA,No_FIB,No_FIC,R,R,S,R,S,S,S,S
ERR435022,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435023,FIA,FIB,No_FIC,R,R,R,R,R,R,S,S
ERR435025,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435027,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435028,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435030,FIA,FIB,FIC,S,S,S,R,S,S,S,S
ERR435031,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435034,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435037,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435038,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435039,No_FIA,FIB,No_FIC,R,S,S,S,S,R,S,S
ERR435040,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435041,FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435043,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435044,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435045,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435046,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435047,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435049,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435050,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435051,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435052,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435056,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435057,No_FIA,FIB,No_FIC,S,S,S,S,S,S,R,S
ERR435058,FIA,FIB,No_FIC,R,S,R,R,R,R,S,S
ERR435059,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435061,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435062,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435064,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435065,No_FIA,FIB,FIC,S,S,S,S,S,S,S,I
ERR435066,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435067,FIA,No_FIB,No_FIC,R,R,S,R,S,S,R,S
ERR435068,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435072,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435075,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435076,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435079,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435081,No_FIA,FIB,FIC,S,R,S,R,S,S,S,S
ERR435086,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435087,FIA,No_FIB,No_FIC,R,R,S,R,R,R,S,I
ERR435088,FIA,No_FIB,No_FIC,S,S,S,R,S,S,S,S
ERR435089,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435090,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435092,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435093,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435094,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435095,FIA,No_FIB,No_FIC,R,R,S,R,S,S,R,S
ERR435096,FIA,FIB,No_FIC,S,R,R,R,R,R,S,S
ERR435098,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435101,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR435102,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435103,FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR435104,No_FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR435105,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR435106,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435107,FIA,FIB,FIC,R,S,R,R,R,R,S,R
ERR435108,FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435110,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435111,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435113,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435114,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435115,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435116,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435117,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435118,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435120,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435124,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR435125,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435127,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435128,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435129,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435130,No_FIA,FIB,FIC,R,R,I,S,S,S,S,R
ERR435131,FIA,No_FIB,No_FIC,S,R,S,R,S,S,R,S
ERR435134,No_FIA,FIB,No_FIC,S,R,S,R,S,S,S,S
ERR435135,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435136,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435137,No_FIA,No_FIB,No_FIC,S,R,I,S,R,R,S,S
ERR435138,FIA,No_FIB,No_FIC,R,R,S,R,S,R,R,S
ERR435139,FIA,FIB,FIC,R,R,S,R,S,S,I,S
ERR435140,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435141,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435142,No_FIA,No_FIB,FIC,S,R,S,S,S,S,S,S
ERR435143,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435144,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435145,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,R,R
ERR435146,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435147,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435148,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435151,FIA,FIB,No_FIC,R,R,R,R,R,R,S,I
ERR435152,FIA,FIB,FIC,R,R,S,R,S,R,S,S
ERR435153,FIA,FIB,FIC,R,R,R,R,R,R,R,S
ERR435154,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435155,FIA,FIB,FIC,R,R,R,R,R,R,S,I
ERR435156,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR435157,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR435159,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435161,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435162,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435165,FIA,No_FIB,No_FIC,R,R,S,R,S,S,S,S
ERR435166,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435167,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435168,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435169,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435170,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR435171,No_FIA,No_FIB,No_FIC,S,R,S,S,S,R,S,S
ERR435173,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435174,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435176,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR435178,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435179,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435180,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435181,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435182,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435183,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435184,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435185,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435187,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435188,FIA,No_FIB,No_FIC,R,R,R,R,R,R,S,S
ERR435189,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435190,FIA,FIB,No_FIC,S,R,S,R,S,R,R,I
ERR435191,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR435192,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435193,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR435194,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR435195,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435196,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435197,FIA,No_FIB,No_FIC,R,S,S,R,S,R,S,S
ERR435198,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435200,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435201,FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435202,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435204,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435206,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435207,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR435208,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435209,FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435210,No_FIA,FIB,No_FIC,S,S,S,R,S,S,R,S
ERR435212,FIA,FIB,No_FIC,R,R,S,S,S,R,S,R
ERR435213,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR435214,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435215,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435216,FIA,FIB,No_FIC,R,R,R,S,R,R,I,S
ERR435220,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435221,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435222,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435223,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435224,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435226,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR435227,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435228,No_FIA,FIB,FIC,S,R,S,R,S,S,S,S
ERR435232,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435233,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435234,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435235,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435236,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435239,FIA,No_FIB,No_FIC,R,R,S,R,R,R,S,S
ERR435240,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435241,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR435242,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435245,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,R
ERR435250,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435252,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435255,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435259,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435260,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435265,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR435266,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435267,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435268,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435270,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435272,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435274,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435275,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435276,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435277,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435278,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435279,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435281,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435283,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435284,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435285,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435286,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435289,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR435291,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435292,FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR435294,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435298,FIA,FIB,No_FIC,R,S,S,I,S,S,R,S
ERR435299,No_FIA,FIB,FIC,R,S,S,S,S,S,I,S
ERR435302,No_FIA,No_FIB,No_FIC,S,S,S,S,R,R,S,S
ERR435303,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR435304,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435305,FIA,FIB,No_FIC,S,S,S,R,S,S,R,S
ERR435309,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435311,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435313,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435314,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435317,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435318,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435319,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435320,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR435321,FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435322,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR435323,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435324,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435325,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435327,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR435329,No_FIA,FIB,FIC,S,R,S,S,S,S,S,I
ERR435330,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR435331,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR435332,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
